"Precip_day","dayDate","vehicule_1_cadmin","vehicle_2_cadmin","usager_1_grav","Long","Lat","DayOfWeek","Day","Month","Year","Hour","FourHours","adresse","carr","year_quarter","MonthYear","TempMin","TempMax","Precip","DureeEnsol","Temp_max","Temp_min","Freq"
1.2,2012-12-16,"Voiture","Deux Roues > 125","Aucun Blessé",2.382015,48.869931,"Samedi",15,"Decembre",2012,14,"12H-16H","0, RUE FRANCIS PICABIA","1_75120_9968","2012 Q4","Decembre 2012",4.6,9.1,96.4,52.1,11.2,8.6,172
1.2,2012-06-16,"Deux Roues 50-125","Deux Roues > 125","Blessé Léger",2.363607,48.872925,"Vendredi",15,"Juin",2012,14,"12H-16H","85, QUAI DE VALMY","1_75110_8433","2012 Q2","Juin 2012",13.6,21.8,99.5,145.9,20.1,15.8,172
1.2,2012-06-16,"Voiture","Voiture","Blessé Léger",2.330717,48.885248,"Samedi",16,"Juin",2012,2,"00H-04H","10, RUE CAULAINCOURT",NA,"2012 Q2","Juin 2012",13.6,21.8,99.5,145.9,20.1,15.8,172
1.2,2012-06-16,"Voiture","Deux Roues > 125","Blessé Léger",2.399796,48.868507,"Vendredi",15,"Juin",2012,17,"16H-20H","XX-4943, AVENUE CARTELLI","1_75120_12078","2012 Q2","Juin 2012",13.6,21.8,99.5,145.9,20.1,15.8,172
1.2,2012-06-16,"Voiture","Deux Roues 50-125","Aucun Blessé",2.346126,48.895827,"Vendredi",15,"Juin",2012,21,"20H-00H","07, PLACE ALBERT KAHN","1_75118_6594","2012 Q2","Juin 2012",13.6,21.8,99.5,145.9,20.1,15.8,172
1.2,2012-06-16,"Vélo","Aucun","Blessé Léger",2.291988,48.839125,"Vendredi",15,"Juin",2012,21,"20H-00H","152, RUE DE LA CONVENTIO","1_75115_1841","2012 Q2","Juin 2012",13.6,21.8,99.5,145.9,20.1,15.8,172
1.2,2012-02-13,"Voiture","Vélo","Aucun Blessé",2.354769,48.869817,"Dimanche",12,"Février",2012,12,"12H-16H","4, BOULEVARD DE STRASBOU",NA,"2012 Q1","Février 2012",0.1,5.8,4.8,116.6,5.6,0.1,172
1.2,2012-06-16,"Voiture","Aucun","Blessé Léger",2.352512,48.836295,"Samedi",16,"Juin",2012,1,"00H-04H","31, AVENUE DES GOBELINS",NA,"2012 Q2","Juin 2012",13.6,21.8,99.5,145.9,20.1,15.8,172
1.2,2012-06-16,"Voiture","Voiture","Aucun Blessé",2.369081,48.844791,"Samedi",16,"Juin",2012,3,"00H-04H","86, QUAI DE LA RAPEE","1_75112_8843","2012 Q2","Juin 2012",13.6,21.8,99.5,145.9,20.1,15.8,172
1.2,2013-11-04,"Voiture","Voiture","Aucun Blessé",2.360162,48.817186,"Dimanche",3,"Novembre",2013,20,"20H-00H","PORTE D ITALIE",NA,"2013 Q4","Novembre 2013",5.7,10,69.7,43.7,14,9.4,172
